bundesland_code;quelle;kartierungsumfang;agglomeration;pfad;tabellenblatt;spaltennamen;zeilen_weglassen;zeilen_gesamt;geoschluessel_stellen;datenquelle
06;road;all;agglomeration;data/Expositionsdaten/raw/HE_ULK2022StatistikGesamt_20240704.xlsx;Straßenlärm;data/Expositionsdaten/raw/ColNamesStr_HE_ULK2022StatistikGesamt_20240704.txt;2;6;6;Bundesland
06;road;major;outside;data/Expositionsdaten/raw/HE_ULK2022StatistikGesamt_20240704.xlsx;Straßenlärm;data/Expositionsdaten/raw/ColNamesStr_HE_ULK2022StatistikGesamt_20240704.txt;8;419;6;Bundesland
06;air;major;agglomeration;data/Expositionsdaten/raw/HE_ULK2022StatistikGesamt_20240704.xlsx;Fluglärm;data/Expositionsdaten/raw/ColNamesFlug_HE_ULK2022StatistikGesamt_20240704.txt;2;6;6;Bundesland
06;air;major;outside;data/Expositionsdaten/raw/HE_ULK2022StatistikGesamt_20240704.xlsx;Fluglärm;data/Expositionsdaten/raw/ColNamesFlug_HE_ULK2022StatistikGesamt_20240704.txt;8;27;6;Bundesland
06;industry;major;agglomeration;data/Expositionsdaten/raw/HE_ULK2022StatistikGesamt_20240704.xlsx;Industrielärm;data/Expositionsdaten/raw/ColNamesInd_HE_ULK2022StatistikGesamt_20240704.txt;2;6;6;Bundesland
08;road;major;outside;data/Expositionsdaten/raw/BW_Belastungsstatistik_2022.xlsx;Hauptverkehrsstraßen;data/Expositionsdaten/raw/ColNamesStr_BW_Belastungsstatistik_2022.txt;4;779;7;Bundesland
08;air;major;both;data/Expositionsdaten/raw/BW_Belastungsstatistik_2022.xlsx;Flughafen Stuttgart;data/Expositionsdaten/raw/ColNamesFlug_BW_Belastungsstatistik_2022.txt;4;10;7;Bundesland
03;road;major;outside;data/Expositionsdaten/raw/NS_2024-10-25_END422_Statistiken_Gemeinden_Ergebnisblatt_V4.xlsx;Tabelle1;data/Expositionsdaten/raw/ColNamesInd_NS_2024-10-25_END422_Statistiken_Gemeinden_Ergebnisblatt_V4.txt;5;542;8;Bundesland
NA;road;all;agglomeration;data/Expositionsdaten/raw/EU_END_2022_cutoff241118_v4.xlsx;Aggl_Road_Data;data/Expositionsdaten/raw/ColNamesStr_EU_AggAll_END_2022_cutoff241118_v4.txt;6;435;NA;EEA
NA;road;major;agglomeration;data/Expositionsdaten/raw/EU_END_2022_cutoff241118_v4.xlsx;Aggl_Road_Data;data/Expositionsdaten/raw/ColNamesStr_EU_AggMajor_END_2022_cutoff241118_v4.txt;6;435;NA;EEA
NA;air;all;agglomeration;data/Expositionsdaten/raw/EU_END_2022_cutoff241118_v4.xlsx;Aggl_Air_Data;data/Expositionsdaten/raw/ColNamesStr_EU_AggAll_END_2022_cutoff241118_v4.txt;6;435;NA;EEA
NA;air;major;agglomeration;data/Expositionsdaten/raw/EU_END_2022_cutoff241118_v4.xlsx;Aggl_Air_Data;data/Expositionsdaten/raw/ColNamesStr_EU_AggMajor_END_2022_cutoff241118_v4.txt;6;435;NA;EEA
NA;rail;all;agglomeration;data/Expositionsdaten/raw/EU_END_2022_cutoff241118_v4.xlsx;Aggl_Rail_Data;data/Expositionsdaten/raw/ColNamesStr_EU_AggAll_END_2022_cutoff241118_v4.txt;6;435;NA;EEA
NA;rail;major;agglomeration;data/Expositionsdaten/raw/EU_END_2022_cutoff241118_v4.xlsx;Aggl_Rail_Data;data/Expositionsdaten/raw/ColNamesStr_EU_AggMajor_END_2022_cutoff241118_v4.txt;6;435;NA;EEA
